English word	Variant	Diné word	Biological definition in english	Defintion in Diné	Literal Translation	Distinction	See also (English)	See also (Diné)	Use in a sentence (English)	Use in a sentence (Diné)	Phonetic English	Phonetic Diné	English audio file name (leave blank for auto-generated)	Diné audio file name (leave blank for auto-generated)
biogeochemical cycle		nahasdzáán iiná ánáyoodlííł	The cycle in which nitrogen, carbon, and other inorganic elements of the environment are converted into the organic substances of animals or plants and released back into the environment	Níłch'i nitrogen, t'eesh carbon dóó t'áádoole'é doo dahináanii bits'ą́ą́dę́ę́' dahólónígíí inorganic substances bił ááhoo'níiłgo bił hoogáałígíí hináanii nídanidlį́ dóó nahasdzáán bikáá'góó ał'ąą nídadilzhish										
biology		iiná naalkaah	The scientific study of life and living organisms	Dahináanii t'áá ałtso baa nahodigį'go naalkaah	iiná=life, naalkaah= study. means to study life. 									
biome		iina bá yá'áhoot'éehgo haz'ą́	A regional or global land area that is characterized by the plants, animals and climate in that area	Nahasdzáán bikáagi haashį́į́ honíłtso haz'ą́ągo nanise' dóó naaldeehii bá yá'áhoot'éehgo bił hoolzhish										
biosphere		hináanii bee hahodít'éegi	The thin zone surrounding Earth where all life exists	Nahasdzáán bikáá'góó áhoołts'óózígo honít'i'go iiná bináhaazlá				hináanii						
biotic factor		hináanii ahił nidaalnish	Any living thing that has an effect on another organism, population, community, or ecosystem	Nahasdzáán bikáá'góó hináanii kéédahat'į́įgo bił nahaz'ánígíí hináanii t'áá át'é yiłdi'ígíí				hináanii						
birth rate		nida'iichííh yéélta'ígíí	The number of total live births in comparison to the total population size in a specified community or area over a specified period of time	Bíla'ashdla'ii kééhat'į́įgi t'áá hoolzhishgóne' t'áá át'é yéélta'go dóó éí hoolzhishígíí haashį́į́ néelą́ą́' ániid náádaazhchínígíí yéélta'go ałhąą naa'nil.										
blood		dił	Body fluid in humans and other animals that delivers necessary substances such as nutrients and oxygen to the cells and transports waste away those cells	Bíla'ashdla'ii bits'íístoo' dóó hináago naaldeehii bits'íístoo' bits'íístahgóó dóó bits'íís bitł'óól biyi'góó níłch'i dóó ch'iyáán dóó yee hináanii ayiił'eeł áádóó ats'íís ałtso choyoos'įįdii níláhgóó ats'á yiile	dił=blood									
botany		nanise' ałtaas'éí naalkaah	The scientific study of plants	Chil dóó nanise' ał'ąą ádaat'éii naalkaah										
brain		atsiighąąʼ	The organ in the body which controls the functions of the body, interprets and stores information, and affects intelligence and emotion.	Ats'íís bii' siléí ats'íís t'áá át'é naalnishgo áyósin, ádahoot'éii t'áá ałtso yaa ákonízin dóó yénálniih, dóó bik'izhdiitáanii baa nitsídzíkees dóó háni' nilíinii yiyoołnaał	ghąąʼ= matter. atsii= heads. So the "matter in your head"									
camouflage		bee na'nit'inii	When organisms disguise their appearance to blend in with their surroundings	Hináago naaldeeh dóó nidaat'a'ii binaagóó áhoot'éhígíí yee hadiit'įįhgo doo yit'į́į da yileeh										
carbohydrate		łikání bich'į' iinéí	An important nutrient used as energy by the body and made mostly of sugars	Ch'iyáán íiyisíí bee ats'íís bidziil dóó biinéí áyósinígíí. Łikání t'éí át'é.										
carbon cycle		níłch'i carbon dioxide náhoodleeł	The movement of carbon dioxide between the atmosphere, living organisms, and land and acquatic ecosystems.	Níłch'I carbon dioxide wolyéhígíí hót'ááhgóó dóó níłch'I bitahgóó, dahináanii bitahgóó dóó táyi'góó hoo'nááłgo ahééhwiilzhíísh										
carnivore		naaldeehii daʼalghałígíí	Animals that eat other animals	Hináanii naaldeehii naaldeehii deiyánígíí	naaldeehii=animals; daʼalghałígíí=eaters or butchers.			naaldeehii						
carrying capacity		hináanii kéyah choyooł'į́	Maximum population size of the species that the environment can sustain, given the food, habitat, water, and other necessities available in the environment	Naaldlooshii haashį́į́ néelt'e'go íiyisíí kéyah bikáá'go da' ayą́ągo bihonéedzą́				hináanii						
catalyst		bee adiiltłáadii	Any substance that increases the rate of a reaction without itself being consumed	Bee adiiltłáadii t'áadoole'é ahidiilyéego bee bina'anishígíí										
cell	0	ats’íís bik’ǫ́ǫ́’	The cell is the smallest unit with the basic properties of life, such as growth, sensing the environment, and reproduction.	Ats'íís bitł'óól éí ats'íís bee ályaaígíí ts'ídá t'ááłá'ígo si'ánígíí náhidínísé, binaagóó yaa ákonízin, dóó ádéé'ál'į́įgo noosééł.	ats’íís= body, bi=it, tł’óól= strand.	look at it through microscope	life, reproduction				sel			
cell	1	ats'íís bitł'óól	@0	@0	@0	refers to DNA in cell. Often used when talking about cancer	@0				@0			
cell	2	hinááhts'ózí	@0	@0	hinááh = life, ts'óózí=small. Means "small unit of life"	Shorthand of the formal word	@0				@0			
cell	3	hinááhts'óóz	@0	@0	@2	Formal word	@0				@0			
cell body		ats'óóz bijéí	A part of a neuron that contains the nucleus where incoming signals are received.											
cell division		ats'íís bitł'óól ałts'á dahinisé	The formation of new cells when an existing cell divides.	Ats'íís bitł'óól ałts'á níséehgo bee ats'íís bitł'óól ániidígíí náhoodleeł										
cell membrane		ats'íí bitł'óól bik'ésti'í	Network of lipids and proteins that forms the boundary between the inside of a cell and the environment that surrounds it.  Also called a plasma membrane.	Ats'íís bitł'óól bik'ésti'í éí ak'ah bizhool dóó ch'iyáán ats'íís hasht'ééyooldlíiłii bizhool bee ályaago ats;íís bikésti'										
cell wall		nanise' bihinááhts'óóz bikágí	A structural layer surrounding cells of plants, bacteria, and other non-animal cells, found just outside the cell membrane	Chil nanise', ch'osh doo yit'íinii dóó naaldeehii danilínígíí  yee nanise' dóó nanit'ąígíí bikágí.										
cellular respiration		nanise' binéí á'dólzin	The process through which cells convert sugars into ATP (energy)	Ats'íís bitł'óól yee biinéí dóó hinánígíí yee ádinaalnishígíí										
charge		atsiniltł'ish	The amount of electricity an object has, determined by the number of protons and electrons it has	T'áá ha'át'íi da protons dóó electrons bináhaazléí wólta'go bitsiniltł'ish ánéelt'e dóó ábóodziilígíí										
chemical		ha'át'íi da doo łahgo ánéehii	A substance that has a constant composition and characteristic properties.	Ha'át'íi da t'ááłáhági át'éego hadít'é dóó t'ááłáhági át'éego naalnishígíí										
chemical energy		t'áádoole'é biziil	This type of energy is what holds atoms of a molecule or molecules of a substance together. When these groups of atoms or molecules are separated during a chemical reaction, chemical energy is released, often as heat.  When organisms photosynthesize or digest food, chemical reactions provide chemical energy for their growth and development.	T'áádoole'é yee bidziilii yee ałch'į' bótá'ii. Díí ałtsá'niłgo yee bidziilii áyóó' át'éego sidogo bits'áshígish										
chemical reaction		t'áádoole'é łahgo áániił	Any process in which substances combine or are broken down into other substances when chemical bonds between atoms are formed or broken	Ha'át'íi da t'ááła' bizhi'go t'áá náó'nííłgo bits'ą́ą́dóó t'áá ha'át'ííshį́į́ náádleeł doo áko bee ályaii yee da'áhótą'ígíí ałts'á há'nííł éí doodago łahgo át'éego ádaalne'										
chemotroph		t'áádoole'é adinídíín yee biziil ánáyoodlííł	Cells that create their own energy and biological materials from inorganic chemicals	Hinááts'ózí cells binaagóó ha'át'íi da doo hináanii bits'ą́ą́dę́ę́' dahólónígíí yee biinéí doo bidziil dooígíí t'áá bí ííł'į́										
chlorophyll		nanise' bitoo' dootł'izhí	Any green molecule that converts light energy into chemical energy during photosynthesis	Nanise' yee dadootł'izhígíí adinídíín (shánídíín) łahgo áyiił'įįhgo bee bitoo' naalnish yileehgo biinéí										
chloroplast		nanise' biziil ííł'íní	A cell organelle that produces energy through photosynthesis	Nanise' bihiináts'ózí biyi'di si'ą́ągo adinídíín yee binéí áyosinígíí										
chromosome		iiná bitł'óól bit'oh	A structure made up of DNA tightly coiled many times around proteins	Iiná bitł'óól nídahineeshzhee'go ats'íís bitł'óól biyi'di dahólónígíí										
circadian rhythm		habił dóó ts'ísee háni' nilį́	A natural, internal process that regulates daily cycles of sleep or inactivity and wakefulness or activity	Niyiiłkaah dóó aná'át'áahjį' hats'íís biyi'di ajiłhosh, ninájílnish dóó hasht'ez dít'é bee bíhólníihgo nijigháhígíí										
circulatory system		hats'oos	The system that moves blood, oxygen, nutrients, waste, and other materials throughout the body. The circulatory system includes the heart, arteries, and veins	Hats'íístahgóó hadił nidaazlį́įgo bee níłch'i dóó ch'iyáán hats'íís bitah hólǫ́ǫgo áyósin áádóó hats'íís ałtso choyoos'įįdígíí hats'áyiiléego jiinánígíí. Kót'éego binaanishígíí éí hajéídíshjool, hats'oos łichí'í dóó hats'oos dootł'izhí.										
climate change		níłch'i ał'ąą ánáá'nííł łahgo áániił	The change in global or regional weather patterns over time.  This occured naturally over time, but recently increased levels of carbon dioxide due to the use of fossil fuels from the mid to late ą)th century onwards has caused climate change to occur faster.	Nahasdzáán bikáá'góó dóó hót'ááhgóó áhoot'éhígíí hado dóó hak'az, níłtsą́, dóó nídaadzasígíí łahgo áániił. T'áá bí éí łahgo ánáánííł nít'ę́ę́' k'adgo níłch'i carbon dioxide wolyéhígíí bilááh ánéelt'e' silį́į́' ałk'idą́ą́' dahináanii bik'éé dahwiilzhiizhii bits'ą́ą́dóó kǫ' choo'į́įgo biniinaa níłch'i ał'ąą ánáá'nííł łahgo áyiilaa.										
codominance		bił ho'dizhchíinii bee hojizlį́į́'ígíí	A form of inheritance in which both alleles are expressed equally in the phenotype of the heterozygote											
community		t'ááłáhági kéédahat'į́	Interacting group of various species in a common location	T'áá łáhági haz'ą́ągi ha'át'ííshį́į́ dahinááshį́į́ ahił nidaalnish dahinánígíí										
competition		bee iináanii ałghaadzį́į́s	A negative interaction that occurs whenever two or more organisms require the same limited resource	Dahináanii t'ááłáhági haz'ą́ągo kééhat'į́įgo bee da'iináanii ałghadeidit'áahígíí										
corrosive		báhádzidii ayánígíí	A highly reactive substance that causes obvious damage to living tissue	Ha'át'íi da bideezla' ayóo atí'áł'į́įgo ats'íís átííł'ínígíí										
cytoplasm		hinááhts'ózí biyi' di bijéí binaagóó hólónígíí	All of the contents of a cell excluding the nucleus	Ats'íís bitł'óól biyi' hólónígíí t'áá át'é ákondi bijéí nucleus éí doo bił ólta'góó				hinááhts'ózí						
data		bee ééhóznii yéélta'ii	A collection of facts, such as numbers, words, measurements, observations or descriptions of thing	T'áá ha'át'íi da dayéélta', bída'néél'ąądígíí, saad da, haalzíidgo bikáá' ályaii, dóó baa hane'go aha'ádaalyaii										
death rate		łahgo haz'ą́ bii' anoonééł	The number of total deaths in comparison to the total population size in a specified community or area over a specified period of time	Haa'í da diné kééhat'į́įgo daashį́į́ néelt'e' ákwe'é kééhát'į́ éí daashį́į́ néelt'e' haashį́į́ nízahjį' nihoolzhiizhgo daneeznánígíí/bikéé' ádahasdįįd yéélta'ígíí ałch'į' sinilgo baa hane'										
decay		hináanii diłdzid	The breakdown of dead organism through the action of bacteria and fungi	Hináanii ła' daaztsą́ągo ch'osh doo yit'íinii dóó dláád ádaat'éii yaa tįįh yikaigo ałtso dííłdzidgo				hináanii						
decompose		hináanii diłdzidgo leezh náádleeł	The process by which dead organic substances are broken down into simpler organic or inorganic material	Ha'át'íi da hináá nít'ę́ę'go ádin silį́į́' dóó bits'íís táánoodééh dóó dííyahgo ła' łeezh nídaasdlį́į́' dóó bits'iilzéí dahólǫ́.				hináanii						
desert		hóółtséigo dzígai	Barren area of land where little precipitation occurs	Kéyah bikáá'góó áłch'į́į́dígo ninádahałtį́įhgi										
diffusion		nishigizh	The movement of molecules from an areas where there are many to where there are fewer	T'áá ha'át'íi da bizhool molecules łą́ hólónídóó áłch'į́į́dí hólǫ́ǫjį' ashiigéeshgo										
digestive system		ch'iyáán náyoołkąąłii	The organs that take in food and liquids and break them down into substances that the body can use for energy, growth, and tissue repair. Waste products the body cannot use leave the body through bowel movements	Atsą́ níléí ch'iyáán dóó jidlánígíí néedił'eel dóó bitoo' ádaat'éí yee ats'íís bidziil, biinéí, dóó hats'íís háidoodlííł. Ha'át'ííshį́į́ hats'íís doo choyooł'į́į da dooígíí éí hach'íí' bee níláhgóó kót'į́										
diploid		hinááhts'ozí iiná bitł'óól naaki bee hólǫ́	A cell or organism having two sets of chromosome	Ats'íís bitł'óól éí doodago hináanii bi iiná bitł'óól ałk'í daadeesdizígíí chromosomes naaki níláago bee dahólónígíí				hinááhts'ózí						
disease		ąąh dahaz'ą́	A change in a living body that prevents it from functioning normally.	Ats'íís haashį́į́ yidzaago doo hazhó'ó naalnish da silį́į'go bee bihodiit'i'										
DNA		iiná bitł'óól	A long molecule that contains our unique genetic information. It holds the instructions for making all of the proteins in our bodies.	Ats'íís bitł'óól nineezgo hats'íís biyi'di hólónígíí bik'ehgo náás oochíiłii yee hadít'é. Bik'ehgo ch'iyáán ats'íís ánáyoodlíiłii proteins hats'íístahgóó hólónígíí nihwiileeh.										
DNA replication		iiná bitł'óól ádéé'alnééh	The process by which DNA is copied during cell division	Ats'íís bitł'óól ałts'á hiniséego iiná bitł'óól biyi'di dahólónígíí bééda'alne'										
dominant		bee ats'íís haleehii alą́ąjį' naalnish	The allele that determines the phenotype when present in a homozygote or heterozygote. Compare with recessive.	Bik'ehgo náás oochíiłii bee ázhnoolnin dóó ájít'éhígíí áyiił'įįh hamá dóó hazhé'é bits'ą́ą́dę́ę́' bik'ehgo náás ooch'íiłii bee hojileehígíí aheełt'éego (homozygote) éí doodago doo aheełt'ée dago (heterozygote)										
dominant trait		bee ats'íís haleehii alą́ąjį' naalnish bee ájít'é yileehii	An inherited characteristic that appears in an offspring if it is received from a parent through a dominant allele. Compare with recessive trait.	Ho'dizhchíídóó hojizhlį́į'go ázhnoolnin dóó ájít'éhígíí bee jinooséełii hamá dóó hazhé'é bits'ą́ą́dę́ę́' bik'ehgo náás oochíiłii alą́ąjį' (dominant) naalnishígíí bik'ehgo jinoosééł silį́į'go.  Recessive éí bik'ehgo náás oochíiłii akéédóó bik'ehgo anoosééł.			dominant							
ecology		naaldeehii bił haz'ą́	The study of how organisms interact with one another and with their environment	Hináanii ał'ąą ádaat'éhígíí bił haz'ą́ągi ahił dahi'ná dóó binaagóó áhoot'éhígíí chodayooł'ínígíí				naaldeehii						
ecosystem		hináanii bił haz'ą́	An environment including every living organism and non-living factor that is contained within it	Nahasdzáán bikáa'gi haz'ą́ągo ákwe'é ha'át'ííshį́į́ dahinááshį́į́ dóó doo hináanii bee hahodít'éhígíí t'áá ałtso				hináanii						
ectotherm		naaldeehii yee sizilí	An organism whose internal temperature depends on the temperature of their surrounding environment	Hináanii naaldeehii binaagóó áhoot'éhígíí bik'ehgo bits'íístahdi sizil dóó náhiniik' áás										
egg	0	ayęęzhii	The female sex cell, or gamete. Compare with sperm.	Asdzání bik'eelyéí	animal egg									animal-egg-dine
egg	1	k'eelyéí	@0	@0										
electron		atom bináhaazléí	The components of an atom that have a negative charge	Atoms bee ályaii shádáahjigo bitsiniltł'ish hoo'nááłígíí										
element		áʼádaatʼéhígíí	A pure substance that is made of only one type of atom. Elements cannot be broken down into any simpler substance.	Ha'át'íi da atom t'ááłá'ígo bee ályaaígíí. Atom t'ááłá'i yileehgo doo tanáó'níiłgo ha'át'íi da náádoodleeł da.	skip									
emigration		ch'ída'iinééh	The migration of individuals out of a particular population or area to other populations or areas.  Compare with immigration.	Bíla'ashdla'ii dayikah nít'ę́ę́' yits'á dahanééhgo nááná łahjí dahyikahígíí yił yah adahnéehgo.										
endotherm		ats'íís sizilígíí	An organism whose internal temperature can be contantly maintained and does not depend on the temperature of their surrounding environment	Dahinánii dóó naaldeehii bits'íís silzil dóó náhiniik'áásígíí t'áá łáhági silkidgo ádayósinígíí. Binaadę́ę́' nahooniidoh dóó náhoniik'asígíí éí doo binahjį' bits'íís sizil da.										
energy		’ahóodziil	The ability to do work, produce change, or create heat.  There are many types of energy.  For example, heat energy (also known as thermal energy) is created when molecules move around quickly and randomly within a substance, which releases heat.  Chemical energy is what holds atoms of a molecule or molecules of a substance together.  When these groups of atoms or molecules are separated during a chemical reaction, chemical energy is released, often as heat.  When organisms photosynthesize or digest food, chemical reactions provide chemical energy for their growth and development.	T'áádoole'é biziil yee biinéí dóó bidziilgo yee naalnish, ha'át'íi da łahgo áyooliił, doodago hadoh bits'ą́ą́dóó hólǫ́ (thermal energy). Łą́ ał'ąą át'é.	’ahóodziil= energy. (you modify the a depending what you're talking about)									
energy pyramid		shá biziil dahináanii bitah silį́į́'ígíí	A picture that represents how much energy, initially from the sun, is retained or stored in living organisms at each trophic level in an ecosystem	Shá bits'ą́ą́dę́ę́' deesdoiígíí hináanii bił nahaz'ą́ądi dóó biyi'di hasht'e dit'eehígíí.										
environment		kéyah bikáa'gi haz'ánígi	The air, water, and land in or on which all living organisms live	Dahináanii dóó naaldeehii bá haz'ą́ągi níłch'I, tó, dóó kéyah yee dahinánígíí										
enzyme		ch'iyáán yidiłidí	A substance that acts as a catalyst in living organisms, regulating the rate at which chemical reactions proceed without itself being altered in the process	Naaldeehii bits'íístahdi ch'iyáán yididiiłił go yee bidziil dóó hináadoogo éí ch'iyáán bits'íístahdi shoogishígíí yee yidiłidígíí hodooleeł éí ch'iyáán yidiiłtláadgo bits'ą́ą́dóó biinéí dóó bidziil.										
epidermis		akágí	The outermost layer of cells of any multicellular organism	Hináanii bits'íís bitł'óól (cells) bikágí										
equilibrium		ahíhooneel'ą́	A state of balance or stable situation where opposite effects cancel each other out and no changes are occuring.	Ha'át'éegi da haz'ą́ągi t'áá ałtsoní hasht'e dadiit'eeh dóó ha'át'íi da doo ba'át'e' hólǫ́ǫ da yileeh. Ha'át'íi da doo ałk'ijį dooldził da, ahíhoneel'ą́ haleeh.										
eukaryote		hináanii bihinááhts'ózí bijéí dahólónígíí	Organisms whose cells contain a nucleus. Compare with prokaryote.	Hináanii bits'íís bitł'óól biyi'di bijéí dahólónígíí				hináanii						
evidence		bee éédahozinii	The available facts or information that indicate a belief or statement is true or valid	Ha'át'íida t'áá aaníí át'é bee bééhózinígíí nídiilyáago binahjį' baa ha'oodzíí' dóó woodlánígíí t'áá aaníigo baa nitsáhákees.										
evolution		ayoonaał	Changes in the frequency of alleles over generations	Ayoonaałgo bik'ehgo náás oochíiłii łahgo ánídaa'níiłgo bik'ehgo ahii' háá' ayoochííł.										
exoskeleton		hináanii bits'a'	A hard covering on the outside of the body used for support, protection, and muscle attachment. Examples include the shells of snails and the outer covering of beetles.	Hináanii bits'a' dahólónígíí bits'íís bits'a' yee naazį́ dóó naaghá.				hináanii						
experiment		t'áádoole'é nabíhonitaah	A test done in order to learn something or to discover whether something works or is true.	Ha'át'íi da t'áá aaníí át'é dóó ó'ooł'įįłgi nabíhonitaahgo naalkaah.										
extinct		hináanii ła' bił ahóóyá	Occurs when there are no more individuals of that species alive anywhere in the world	Ha'át'íi da ałtso eeldee' éí doodago bił ahóóyáago doo ła' yidziih da silį́į́'ígíí				hináanii						
extinction		hináanii ałtso iildéeh	The act or process of a species becoming extinct	Dahináanii ła' ha'át'ííshį́į́ biniinaa áádįįł silį́į'go				hináanii						
fertilization (reproductive)		ak'eelyéí ahidiinahgo iilts'ąąh	The process of combinine the male sperm with the female egg to produce a cell called a zygote.	Hináanii biką' dóó bi'áádígíí bik'eelyéí ahidiina'go bits'ą́ą́dóó biyázhí iilts'ą'ígíí.										
fitness		hohónéedzą́	The ability of an individual to produce successful offspring compared to other individuals of the same species.	Hináanii biyázhí yishchínígíí yisdádoogáałgo bidziilgo hináadoo										
food chain		ch'iyáán hinílá	A linear sequence of organisms through which nutrients and energy pass as one organism eats another	Dahináanii ałkéé' bił honí'ą́ągo dahnaazhjaa'go bich'iiyą' nídanidlį́										
food web		ch'iyáán bee hahodít'é	Represents multiple pathways through which energy and nutrients flow through an ecosystem. It includes many intersecting food chains. It demonstrates that most organisms eat, and are eaten, by more than one species.	Ch'iyáán dahideezláádóó dahiníláajį' bee hahodít'éego nahaz'ą́. Łahgóó ahéédadiit'I'										
fossil		hináanii bits'iil	Evidence of living organisms that lived long ago	Ałk'idą́ą́' dahináá nít'ę́ę́'yę́ę bits'iil				hináanii						
fossil fuel		ats'iil choo'ínígíí	A material formed from the decomposing organisms that can release energy as heat or be used for work. These fuels are found within the Earth and exist in limited quantities. Examples include coal, oil, and natural gas.	Dahináanii daneeznánée dadiłdzid bits'ą́ą́dóó ha'át'íi da nihwiileehígíí biziil (energy) bits'áłdohígíí (heat) bee nida'anish. Nahasdzáán biyi'di dahólǫ́ haashį́į́ danéelt'e'go. Łeejin/tsékǫ', ak'ah łizhiní dóó níłch'i  ászólí ááh ha'ní.										
fungi		dláád	Living organisms that get their nutrients by absorbing them.	Hináanii bich'iiyą' binaagóó hólónígíí néidił'eełgo bikágí biníkáágóne'  biihishigéeshgo yee hiná.										
gamete		ak'eelyéí bee idí'nóotsąąłii	A haploid reproductive cell that joins with another haploid reproductive cell of the opposite sex to form a diploid zygote.	Bi'áadii bik'eelyéí bihinááts'óóz biyi'di iiná bitł'óóól ałk'ídaadeesdizígíí chromosomes t'áá ałní'ígo ánéelt'e' dóó biką'ii bik'eelyéí bihinááhts'óóz biyi'di iiná bitł'óóól ałk'ídaadeesdizígíí chromosomes t'áá ałní'ígo ánéelt'e'ígíí ahidiinahgo bits'ą́ą́dóó biyázhí (zygote) bits'íís bihinááhts'óóz biyi'di iiná bitł'óól ałk'ídadeesdizígíí t'áá át'é bii' dahólǫ́.										
gene		bik'ehgo náás oochíiłii łago át'e silį́į́'ígíí t'áá át'é	A section of DNA that is the unit of heredity for a trait.	Iiná bitł'óól bąąhgi bik'ehgo jinooséełgo t'áá jizį́į́ nít'ę́ę́' ájít'é dooleełígíí										
gene pool		bik'ehgo náás oochíiłiii	All of the alleles of all the genes in a population of a specific species at a given time.	T'áá hoolzhishgi dahináanii t'áá sahdii dahyikahgo yik'ehgo náás oołchíiłii łahgo át'é daazlį́į'ígíí t'áá ałtso ááł jiní										
generalist		hináanii t'áá ałtso yíníłdzilii	A species that can thrive in many different environmental conditions or use different types of resources. Compare with specialist.	Dahináanii ła' dahyikahgo łahgo ánáhoo'níiłgi kéédahat'į́ éí doodago yee dahináanii ał'ąą ádaat'éego yee kééhát'į́				hináanii						
generation		hináan t'áá ła' yikahígíí	All of the organisms born and living at about the same time. In humans, mother and daughters represent two generations	Hináanii t'áá ałhąąh daazhchí dóó danihinánígíí, Amá dóó ach'é'é éí naakidi azhchínígíí át'é										
genetic disorder		iiná bitł'óól łahgo ádzaii binaałniih	A disease that is caused by a change (mutation) in an individual's DNA sequence	Bik'ehgo náás oochíiłii ałkéé' sinilyę́ę łahgo ádzaago ba'át'e' hazlį́į'go bits'ą́ą́dóó ąąh dahaz'ą́ bił oochííł yileeh.										
genetically engineered		iiná bitł'óól łahgo ályaa	The deliberate modification of the characteristics of an organism by changing its DNA or RNA	Ha'át'íi da hináanii bits'íís dóó bíni' da yee hadít'éhígíí t'áá ákólnéehgo be'iiná bitł'óól łahgo ál'įįhígíí										
genetics		bik'ehgo náás oochíiłii naalkaah	The study of genes and inheritance in living organisms	Dahináanii yik'ehgo náás oołchííłígíí dóó yił oołchíiłii nidaalkaahgo t'áá át'é bíhoo'aah										
genome		hináanii be'iiná bitł'óól t'áá ałtso	All of an organism's DNA	Ha'át'íi da hináanii bits'íís bitł'óól t'áá ałtso bits'íís bii' hólónígíí				hináanii						
genotype		hái da bi allele t'áá ałtso	All of the alleles in a given individual's genome	Ha'át'íi da hináanii yik'ehgo náás oołchíiłii łahgo át'é daazlį́į́'ígíí t'áá ałtso										
geology		nahasdzáán naalkaah	The science that deals with the earth's physical structure, the materials it is made of, its history, and the processes that act on it.	Nahasdzáán ninálkaahgo ha'át'íi da yee hadít'éhígíí, biyi'di dóó bikáá'góó hólónígíí dahazlį́į́'dę́ę́' dóó yee naalnishígíí bíhoo'aah	nahasdzáán=earth, naalkaah= study									
global warming		nahasdząąn bikáá'góó honiidóóh	The increase in the Earth's average temperature. Recently, temperatures are rising rapidly due to increases in the levels of greenhouse gases.	Nahasdzáán bikáá'góó sidooígíí de'áániił. Níłch'i hado yił hidideełígíí, greenhouse gases, łą́ dahshoogish silį́į́'ígíí biniinaa nahasdzáán ayóo sido silį́į́'.										
glucose		chʼiyáán náálkąąd bee jiinánígíí	The simple sugar that is the main source of energy. Glucose is found in the blood and is the main sugar that the body makes.	Łikání hadił bitahdi hólǫ́ǫgo íiyisíí bee hadziil dóó hwiinéí áhósinígíí óolyé. Łikání glucose wolyéhígíí hadił bitahdi hólǫ́ éí hats'íís ííł'į́įgo hadił bitahdi niheleeh.	chʼiyáán=food, bee jiinánígíí = keeping you alive... means "something about the food is keeping you alive"									
greenhouse gas		níłch'i hado yiłhidideełii	Any gas that can absorb heat from Earth's surface and keeps it from leaving the atmosphere into space.	Níłch'i nahasdzáán bikáá'góó náhoniidohígíí yił hidideeł dóó doo yiidichxíid dago biniinaa doo nahasdzáán bits'ą́ąjį' aheldóoh da.										
habitat		hináanii bił haz'ą́	Place where an organism or a community of organisms lives, including all living and nonliving factors or conditions of the environment	Dahináanii kééhat'į́įgi áádóó ákwe'é haz'ą́ągi t'áá ałtsoní bee hahodít'éego haz'ą́				hináanii						
haploid		iiná bitł'óól t'áá łá'í	A cell or organism having a single set of chromosomes	Hinááts'ózí éí doodago hináanii bits'íístahdi iiná bitł'óól ałk'ídeesdizígíí chromosomes t'ááłáhájí t'éí biyi'di hólǫ́										
herbivore		naaldlooshii ch'il yiłchozhígíí	Animals that eat plants	Na'at'i'í éí doodago naaldlooshii chil deiłchozhígíí										
heredity		bił náás oochíił	The passing on of traits from parents to offspring through genetic information.	Dahináanii yizhchíigo bimá dóó bizhé'é yik'ehgo náás oołchíiłii bee bik'i' aschínígíí yee hadít'é yileeh										
heterotroph		hináanii ch'il dóó naaldlooshii yiyánígíí	An organism that eats plants or animals for energy and nutrients (compare with autotroph)	Ha'át'íi da hináanii bidziil dóó yee hináadoo biniyé ch'il/nanise' dóó níláhgóó dahináanii yiyą́				hináanii						
heterozygote		bik'ehgo náás oochíiłii naaki ał'ąą át'é	An individual who has two different alleles of a gene. Compare with homozygote.	Bíla'ashdla'ii bi'iiná bitł'óól bąąhgi bik'ehgo náás oochíiłii gene naaki ał'ąą át'éego hólónígíí										
hibernate		haigo iilhoshii	A state in which an animal’s body processes are slower than usual, its body temperature falls, and its activities are limited, usually during winter or when food is scarce.	Haigo éí doodago ch'iyáán doo łą́ dahólǫ́ǫ da haleehgo na'at'i'í dóó naaldlooshii bits'íís ni'át'įįh, doo ayóo naha'ná da, doo ayóo sizil da,										
homeostasis		t'ááłáhági áhoot'é	The ability of the body or a cell to maintain a stable internal environment despite changes in external conditions.	Níláhgóó ał'ąą ánáhoo'níił nidi ats'íístah di doodago hinááhts'óóz/ats'íís bitł'óól biyi'di t'ááłáhági áhoot'é.										
homologous		iiná bitł'óól aheełt'é	Similarity of DNA or RNA sequences, proteins, or traits due to shared ancestry	Iiná bitł'óól, DNA dóó RNA t'áá áłah ałkéé' danéedééhígíí, ats'íís bee haleehii proteins, éí doodago bik'ehgo ázhnoolnin dóó ájít'é yileehígíí ahedaałt'éego										
homozygote		bik'ehgo náás oochíiłii naaki aheełt'é	An individual who has two of the same alleles for a gene. Compare with heterozygote.	Bíla'ashdla'ii ła' biyik'ehgo náás oołchíiłii łahgo át'é silį́į́'ígíí naakigo bee hólǫ́.										
hormone		akááz bitoo'	Chemical substances that act as messenger molecules in the body. After being made in one part of the body, they travel to other parts of the body where they help control how cells and organs do their work	Akááz bitoo' ats'íís yee ákonízinígíí. Ats'íís biyi'di haleeh aadóó ats'íístahgóó hoo'nááł yileeh.										
hydrophillic		tó bitah yileehii	Molecules and surfaces that do interact with water	Ha'át'íi da bizhool,  molecules, éí doodago bikáá'góó tó bił ałtah yileehígíí										
hydrophobic		tó doo bitah yileehii	Molecules and surfaces that do no interact with water	Ha'át'íi da bizhool,  molecules, éí doodago bikáá'góó tó doo bił ałtah yileehígíí										
