English word	Variant	Diné word	Biological definition in english	Defintion in Diné	Literal Translation	Distinction	See also (English)	See also (Diné)	Use in a sentence (English)	Use in a sentence (Diné)	Phonetic English	Phonetic Diné	English audio file name (leave blank for auto-generated)	Diné audio file name (leave blank for auto-generated)
probability		ha'át'íi da doonííł nawólní	The chance that something will happen or of a hypothesis being correct	Haa da hoot'éedoo le' hasingo éí doodago na'alkaahgo naalkaahii ádoonííł nawólnínígíí										
producer		hinánii ch'iyáán bá siláii	Organisms that are capable of photosynthesis and are the basis of a food chain.	Dahináanii shánídíín choyooł'į́įgo yee biinéí dóó bidziil dahólǫ́ éí ts'ídá binahjį' ch'iyáán nihwiileeh										
prokaryote		hináanii bihinááhts'ózí bijéí dahólónígíí	A unicellular organism that does not have a nucleus and has few organelles.  Compare with eukaryote.	Ha'át'íi da hinááts'óóz t'ááła'í si'ą́ągo bits'íís nilį́įgo biyi'di bijéí, nucleus doo hólǫ́ǫ da				hináanii						
prophase		hinááhts'óóz ałts'á nooseeł	The first stage of mitosis or meiosis where chromosomes are compressed	Hinááhts'óóz ał'ąą át'éego ałts'á níséego, mitosis éí doodago meiosis, alą́ąjį' bee hahalzhííshígíí				hinááhts'óóz						
protein		ch'iyáán bee ats'íís haleehii	A chain of amino acids that can fold into a specific shape	Ch'iyáán ats'íís bee haleeh dóó hasht'éé yoodlííłígíí, protein, bee haleehígíí, amino acid, da'ahólzha' daaleeh dóó nidaat'ood łeh										
proton		atom bitsiniltł'ish shá bik'ehgo siláii	The components of an atom that have a positive charge	Atoms yee hadit'éhígíí biniltł'ish shábik'ehgo, clockwise or consistent with the sun's path, siláhígíí bąąh hólǫ́										
Punnett square		ats'íís ał'ąą át'é naashch'ąą'	A square drawing used to show the different genotypes possible in the offspring when two individuals reproduce	Bik'ehgo náás oochíiłii ał'ąą ádaat'éego bee hazhdít'éhígíí naasch'ąą'go ál'įįhígíí. Dik'ą́ągo si'ą́ą łeh.										
recessive		akéédóó héesdá	The allele that only determines the phenotype when the organism has two copies of it. Compare with dominant.	Bik'ehgo náás oochíiłii łahgo át'é silį́į́'ígíí, allele, akéédóó naalnishgo bik'ehgo ats'íís haidiił'įįh béé'ályaago naaki hwee hólónígíí.										
recessive trait		bee hojileehii akéédóó héesdáii	An inherited characteristic that appears in an offspring if it is received from a parent through a recessive allele. Compare with dominant trait.	Hats'íís dóó ájít'éhígíí bił ho'dizhchínígíí hamá dóó hazhé'é bits'ą́ą́dę́ę́' nízhdiiláhígíí éí bik'ehgo náás oochíił'ii akéédóó naalnishígíí, recessive, bik'ehgo hojizhlį́į́'.										
red blood cell		dił łichí'í	The blood cells that carry oxygen	Hadił łichí'í níłch'i'										
reproductive isolation		doo oochííł bá haz'ą́ą da	The situation where similar species may live in the same area, but they are unable to reproduce.	Haa'í da ha'át'íi da dahináanii t'ááłáhági bił haz'ą́ą doo nida'iiłchíigo hodeeshzhiizh										
reproductive system		oochííł bá siláii	The group of organs involved in reproduction	Ats'íís biyi'di bee idínótsąął dóó adoochííł biniyé dahólónígíí										
research		naʼałkaah	The creation of new knowledge or the use of existing knowledge in a new way so as to create new concepts, methods, and understandings	Na'alkaah bee éé'deetánígíí náás hideesnilgo íhoo'aah bínááhiniidééh	naʼałkaah=investigating/research									
resistance		dahináanii bidziil	The ability of an organism to withstand harmful effects	Hináanii naayéé' doo bidééłníi da á'dólzin										
respiration		níłch'i hwiinéí hósin	The process in which organisms release carbon dioxide, take in oxygen, and combine oxygen and sugar in order to produce energy (ATP)	Hináanii náhididziihgo níłch'i carbon dioxide yił hahayooł, níłch'i oxygen yił ahedziih, dóó níłch'i dóó łikání bits'íístah hólónígíí ałtah ííł'į́įgo yee biinéí dóó bidziilígíí ííł'į́										
respiratory system		níłch'i hwiihíílá dóó hááhiilá	The group of organs involved in the exchange of gas between an organism and the environment to make energy (respiration).	Atsą́ siléí internal organs ła' ats'íís biyi'di dóó ats'íís binaadę́ę́' níłch'I ałnánáálį́įgo yee biinéí dóó bidziilgo ábósin										
scientific method		na'alkaah bibeehaz'áanii	A way for scientists to study and learn things. In the first step, a problem is identified, then a hypothesis is made from existing information, and then the hypothesis is tested with an experiment.	Ałkéé' honí'ą́ągo na'alkaah bee doo naaki nilį́į́góó éé'deetį́į́h dóó íhoo'aah. I'diił'áii bééhózingo ál'įįh, át'éedoo dóó nídleeł baa nitáháskéezgo saad ál'įįh, díí baa nitsáháskéézígíí naalkaah,										
