English word	English variant	Diné variant	Diné word	Biological definition in english	Defintion in Diné	Literal Translation	Distinction	See also (English)	See also (Diné)	Use in a sentence (English)	Use in a sentence (Diné)	Phonetic English	Phonetic Diné	English audio file name (leave blank for auto-generated)	Diné audio file name (leave blank for auto-generated)
carrying capacity			hináanii kéyah choyooł'į́	Maximum population size of the species that the environment can sustain, given the food, habitat, water, and other necessities available in the environment	Naaldlooshii haashį́į́ néelt'e'go íiyisíí kéyah bikáá'go da' ayą́ągo bihonéedzą́				hináanii	If you use too many apps on your cell phone at once, it will slow down or stop working.  Similarly, the environment has a carrying capacity and can only support a certain number of organisms, otherwise the population size will decrease.					
catalyst			bee adiiltłáadii	Any substance that increases the rate of a reaction without itself being consumed	Bee adiiltłáadii t'áadoole'é ahidiilyéego bee bina'anishígíí					A catalyst makes an unlikely reaction more likely. For example, lactase is an enzyme catalyst that increases the rate that lactose, found in dairy products, is turned into two types of sugar that our bodies can use.					
cell	0		ats’íís bik’ǫ́ǫ́’	The cell is the smallest unit with the basic properties of life, such as growth, sensing the environment, and reproduction.	Ats'íís bitł'óól éí ats'íís bee ályaaígíí ts'ídá t'ááłá'ígo si'ánígíí náhidínísé, binaagóó yaa ákonízin, dóó ádéé'ál'į́įgo noosééł.	ats’íís= body, bi=it, tł’óól= strand.	look at it through microscope	reproduction		Your body is composed of around 37 trillion cells! That is a big number but there are even more bacteria cells that live on and in you: around 100 trillion.		sel			cell-microscope
cell	1		ats'íís bitł'óól	@0	@0	@0	refers to DNA in cell. Often used when talking about cancer	@0		@0		@0			cell-dna
cell	2		hinááhts'ózí	@0	@0	hinááh = life, ts'óózí=small. Means "small unit of life"	Shorthand of the formal word	@0		@0		@0			cell-short-form
cell	3		hinááhts'óóz	@0	@0	@2	Formal word	@0		@0		@0			cell-formal
cell body			ats'óóz bijéí	A part of a neuron that contains the nucleus where incoming signals are received.						The cell body of a neuron is like a train station.  It coordinates incoming and outgoing signals for the neuron.					
cell division			ats'íís bitł'óól ałts'á dahinisé	The formation of new cells when an existing cell divides.	Ats'íís bitł'óól ałts'á níséehgo bee ats'íís bitł'óól ániidígíí náhoodleeł					Bacteria like E. coli reproduce by cell division, where one cell copies itself and splits into two cells.					
cell membrane			ats'íí bitł'óól bik'ésti'í	Network of lipids and proteins that forms the boundary between the inside of a cell and the environment that surrounds it.  Also called a plasma membrane.	Ats'íís bitł'óól bik'ésti'í éí ak'ah bizhool dóó ch'iyáán ats'íís hasht'ééyooldlíiłii bizhool bee ályaago ats;íís bikésti'					The cell membrane is like the "skin" of the cell.  It separates the inside of the cell from the surrounding environment.					
cell wall			nanise' bihinááhts'óóz bikágí	A structural layer surrounding cells of plants, bacteria, and other non-animal cells, found just outside the cell membrane	Chil nanise', ch'osh doo yit'íinii dóó naaldeehii danilínígíí  yee nanise' dóó nanit'ąígíí bikágí.					Penicillin is an antiobitic that can kill bacteria by stopping them from making cell walls.  This is why doctors prescribe it when you have an infection.					
cellular respiration			nanise' binéí á'dólzin	The process through which cells convert sugars into ATP (energy)	Ats'íís bitł'óól yee biinéí dóó hinánígíí yee ádinaalnishígíí					Cellular respiration takes place in the mitochondria and it produces the energy needed for cells to function properly.  					
charge			atsiniltł'ish	The amount of electricity an object has, determined by the number of protons and electrons it has	T'áá ha'át'íi da protons dóó electrons bináhaazléí wólta'go bitsiniltł'ish ánéelt'e dóó ábóodziilígíí					An element has a neutral charge if it has an equal number of protons and electrons. It has a +1 positive charge if it has one more proton than electron.  It has a -1 negative charge if it has one more electron than proton.					
chemical			ha'át'íi da doo łahgo ánéehii	A substance that has a constant composition and characteristic properties.	Ha'át'íi da t'ááłáhági át'éego hadít'é dóó t'ááłáhági át'éego naalnishígíí					Did you know water is a chemical?  Each molecule of water contains two hydrogen atoms and one oxygen atom that bond together, which is why it is called H20.					
chemical energy			t'áádoole'é biziil	This type of energy is what holds atoms of a molecule or molecules of a substance together. When these groups of atoms or molecules are separated during a chemical reaction, chemical energy is released, often as heat.  When organisms photosynthesize or digest food, chemical reactions provide chemical energy for their growth and development.	T'áádoole'é yee bidziilii yee ałch'į' bótá'ii. Díí ałtsá'niłgo yee bidziilii áyóó' át'éego sidogo bits'áshígish					The battery in your car or phone uses checmical energy from the battery to function.					
chemical reaction			t'áádoole'é łahgo áániił	Any process in which substances combine or are broken down into other substances when chemical bonds between atoms are formed or broken	Ha'át'íi da t'ááła' bizhi'go t'áá náó'nííłgo bits'ą́ą́dóó t'áá ha'át'ííshį́į́ náádleeł doo áko bee ályaii yee da'áhótą'ígíí ałts'á há'nííł éí doodago łahgo át'éego ádaalne'					Jewlery that is made of nickel and silver can produce a chemical reaction with oxygen that will turn your skin green.					
chemotroph			t'áádoole'é adinídíín yee biziil ánáyoodlííł	Cells that create their own energy and biological materials from inorganic chemicals	Hinááts'ózí cells binaagóó ha'át'íi da doo hináanii bits'ą́ą́dę́ę́' dahólónígíí yee biinéí doo bidziil dooígíí t'áá bí ííł'į́					Most chemotrophs live in harsh environments like hot spring pools or near thermal vents at the bottom of the ocean.					
chlorophyll			nanise' bitoo' dootł'izhí	Any green molecule that converts light energy into chemical energy during photosynthesis	Nanise' yee dadootł'izhígíí adinídíín (shánídíín) łahgo áyiił'įįhgo bee bitoo' naalnish yileehgo biinéí					Plants use different colored pigments, such as chlorophyll, to absorb light and turn it into chemical energy, just as solar panels absorb sunlight and convert it to electricity.					
chloroplast			nanise' biziil ííł'íní	A cell organelle that produces energy through photosynthesis	Nanise' bihiináts'ózí biyi'di si'ą́ągo adinídíín yee binéí áyosinígíí					If we think of chlorophyll as the solar panels of the plant cell, then chloroplasts are like a field that contains many solar panels.  					
chromosome			iiná bitł'óól bit'oh	A structure made up of DNA tightly coiled many times around proteins	Iiná bitł'óól nídahineeshzhee'go ats'íís bitł'óól biyi'di dahólónígíí					Humans have two copies of 23 chromosomes.  People who have an extra copy of one or part of their 21st chromosome are born with a condition called Down Syndrome.					
circadian rhythm			habił dóó ts'ísee háni' nilį́	A natural, internal process that regulates daily cycles of sleep or inactivity and wakefulness or activity	Niyiiłkaah dóó aná'át'áahjį' hats'íís biyi'di ajiłhosh, ninájílnish dóó hasht'ez dít'é bee bíhólníihgo nijigháhígíí					The circadian rhythm of sunflowers lets them anticipate the timing and direction of the sunrise each morning so that they can face their flowers towards the sun.					
circulatory system			hats'oos	The system that moves blood, oxygen, nutrients, waste, and other materials throughout the body. The circulatory system includes the heart, arteries, and veins	Hats'íístahgóó hadił nidaazlį́įgo bee níłch'i dóó ch'iyáán hats'íís bitah hólǫ́ǫgo áyósin áádóó hats'íís ałtso choyoos'įįdígíí hats'áyiiléego jiinánígíí. Kót'éego binaanishígíí éí hajéídíshjool, hats'oos łichí'í dóó hats'oos dootł'izhí.					When you have high blood pressure, your circulatory system doesn't function as well becuase your heart has to work harder to pump the same amount of blood through your body.					
climate change			níłch'i ał'ąą ánáá'nííł łahgo áániił	The change in global or regional weather patterns over time.  This occured naturally over time, but recently increased levels of carbon dioxide due to the use of fossil fuels from the mid to late ą)th century onwards has caused climate change to occur faster.	Nahasdzáán bikáá'góó dóó hót'ááhgóó áhoot'éhígíí hado dóó hak'az, níłtsą́, dóó nídaadzasígíí łahgo áániił. T'áá bí éí łahgo ánáánííł nít'ę́ę́' k'adgo níłch'i carbon dioxide wolyéhígíí bilááh ánéelt'e' silį́į́' ałk'idą́ą́' dahináanii bik'éé dahwiilzhiizhii bits'ą́ą́dóó kǫ' choo'į́įgo biniinaa níłch'i ał'ąą ánáá'nííł łahgo áyiilaa.					Climate change is causing weather extremes, such as increasing temperatures and making droughts more common in the southwest United States.					
codominance			bił ho'dizhchíinii bee hojizlį́į́'ígíí	A form of inheritance in which both alleles are expressed equally in the phenotype of the heterozygote						When a chicken with white feathers breeds with a chicken with black feathers, the next generation has both black and white feathers because both alleles for feather color are codominant.					
community			t'ááłáhági kéédahat'į́	Interacting group of various species in a common location	T'áá łáhági haz'ą́ągi ha'át'ííshį́į́ dahinááshį́į́ ahił nidaalnish dahinánígíí					Hummingbirds and fields of flowers are in the same community because the hummingbirds need the flowers for nectar and the flowers need hummingbirds to spread their pollen.  					
competition			bee iináanii ałghaadzį́į́s	A negative interaction that occurs whenever two or more organisms require the same limited resource	Dahináanii t'ááłáhági haz'ą́ągo kééhat'į́įgo bee da'iináanii ałghadeidit'áahígíí					In the winter when there are few plants, the deer are in competition with one another for who gets to eat them.					
consumer				An organism that obtains food by feeding on other organisms.						A hawk is a consumer that eats mice and other small mammals.  Mice are also consumers and eat plants and bugs.					
corrosive			báhádzidii ayánígíí	A highly reactive substance that causes obvious damage to living tissue	Ha'át'íi da bideezla' ayóo atí'áł'į́įgo ats'íís átííł'ínígíí					Many household cleaners like bleach are corrosive because they can start to burn and harm your skin when left on the surface for too long. 					
cytoplasm			hinááhts'ózí biyi' di bijéí binaagóó hólónígíí	All of the contents of a cell excluding the nucleus	Ats'íís bitł'óól biyi' hólónígíí t'áá át'é ákondi bijéí nucleus éí doo bił ólta'góó				hinááhts'ózí	If we think of a cell as a jello salad, the cytoplasm is like the jello because it suspends and holds the contents inside.					
data			bee ééhóznii yéélta'ii	A collection of facts, such as numbers, words, measurements, observations or descriptions of thing	T'áá ha'át'íi da dayéélta', bída'néél'ąądígíí, saad da, haalzíidgo bikáá' ályaii, dóó baa hane'go aha'ádaalyaii					When you write notes about something you see, like the number of petals on a flower, you are collecting data.					
death rate			łahgo haz'ą́ bii' anoonééł	The number of total deaths in comparison to the total population size in a specified community or area over a specified period of time	Haa'í da diné kééhat'į́įgo daashį́į́ néelt'e' ákwe'é kééhát'į́ éí daashį́į́ néelt'e' haashį́į́ nízahjį' nihoolzhiizhgo daneeznánígíí/bikéé' ádahasdįįd yéélta'ígíí ałch'į' sinilgo baa hane'					If 20 cows die on a farm with 100 total cows, then we could say that 0.2 cows die for every cow on the farm (20 calves / 100 cows = 0.2 calves per cow).					
decay			hináanii diłdzid	The breakdown of dead organism through the action of bacteria and fungi	Hináanii ła' daaztsą́ągo ch'osh doo yit'íinii dóó dláád ádaat'éii yaa tįįh yikaigo ałtso dííłdzidgo				hináanii	The mold we see on old fruit is a type of fungus that decays the fruit. 					
decompose			hináanii diłdzidgo leezh náádleeł	The process by which dead organic substances are broken down into simpler organic or inorganic material	Ha'át'íi da hináá nít'ę́ę'go ádin silį́į́' dóó bits'íís táánoodééh dóó dííyahgo ła' łeezh nídaasdlį́į́' dóó bits'iilzéí dahólǫ́.				hináanii	The leaves that fall on the ground during autum are important because they decompose and become a part of the soil, which helps other plants grow. 					
desert			hóółtséigo dzígai	Barren area of land where little precipitation occurs	Kéyah bikáá'góó áłch'į́į́dígo ninádahałtį́įhgi					The Sonoran Desert is found in the southwestern United States and the species that live in it can survive long periods of time with little to no rain.					
diffusion			nishigizh	The movement of molecules from an areas where there are many to where there are fewer	T'áá ha'át'íi da bizhool molecules łą́ hólónídóó áłch'į́į́dí hólǫ́ǫjį' ashiigéeshgo					As you add tea leaves to hot water, the tea will start to spread through the water.  This is an example of diffusion.					
digestive system			ch'iyáán náyoołkąąłii	The organs that take in food and liquids and break them down into substances that the body can use for energy, growth, and tissue repair. Waste products the body cannot use leave the body through bowel movements	Atsą́ níléí ch'iyáán dóó jidlánígíí néedił'eel dóó bitoo' ádaat'éí yee ats'íís bidziil, biinéí, dóó hats'íís háidoodlííł. Ha'át'ííshį́į́ hats'íís doo choyooł'į́į da dooígíí éí hach'íí' bee níláhgóó kót'į́					Your digestive system includes your mouth, stomach, and intestines. All of these organs play a role in breaking down food you can absorb nutrients and energy.					
diploid			hinááhts'ozí iiná bitł'óól naaki bee hólǫ́	A cell or organism having two sets of chromosome	Ats'íís bitł'óól éí doodago hináanii bi iiná bitł'óól ałk'í daadeesdizígíí chromosomes naaki níláago bee dahólónígíí				hinááhts'ózí	Most cells in our body are diploid and have a copy of each chromosome from both of our parents.					
disease			ąąh dahaz'ą́	A change in a living body that prevents it from functioning normally.	Ats'íís haashį́į́ yidzaago doo hazhó'ó naalnish da silį́į'go bee bihodiit'i'					When many think about diseases we first think about cancer or the flu. However, it is important to not forget about mental health diseases like depression or anxiety. 					
DNA			iiná bitł'óól	A long molecule that contains our unique genetic information. It holds the instructions for making all of the proteins in our bodies.	Ats'íís bitł'óól nineezgo hats'íís biyi'di hólónígíí bik'ehgo náás oochíiłii yee hadít'é. Bik'ehgo ch'iyáán ats'íís ánáyoodlíiłii proteins hats'íístahgóó hólónígíí nihwiileeh.					Construction workers need instructions to know how to build a building.  Cells use DNA as instructions to tell them what to do and how to make things.					
DNA replication			iiná bitł'óól ádéé'alnééh	The process by which DNA is copied during cell division	Ats'íís bitł'óól ałts'á hiniséego iiná bitł'óól biyi'di dahólónígíí bééda'alne'					In humans, DNA is about 6 billion base pairs long. DNA needs to be copied accurately each time a cell divides. Sometimes there can be an error in the DNA replication process. This is one way mutations can arise.					
dominant			bee ats'íís haleehii alą́ąjį' naalnish	The allele that determines the phenotype when present in a homozygote or heterozygote. Compare with recessive.	Bik'ehgo náás oochíiłii bee ázhnoolnin dóó ájít'éhígíí áyiił'įįh hamá dóó hazhé'é bits'ą́ą́dę́ę́' bik'ehgo náás ooch'íiłii bee hojileehígíí aheełt'éego (homozygote) éí doodago doo aheełt'ée dago (heterozygote)					An individual with one allele for type-O blood and one allele for type-B blood will have type-B blood because the  allele for type-B blood is dominant to the allele for type-O blood. 					
dominant trait			bee ats'íís haleehii alą́ąjį' naalnish bee ájít'é yileehii	An inherited characteristic that appears in an offspring if it is received from a parent through a dominant allele. Compare with recessive trait.	Ho'dizhchíídóó hojizhlį́į'go ázhnoolnin dóó ájít'éhígíí bee jinooséełii hamá dóó hazhé'é bits'ą́ą́dę́ę́' bik'ehgo náás oochíiłii alą́ąjį' (dominant) naalnishígíí bik'ehgo jinoosééł silį́į'go.  Recessive éí bik'ehgo náás oochíiłii akéédóó bik'ehgo anoosééł.			dominant		A dominant trait is determined by a dominant allele. For example, if you have an allele for light eyes and an allele for dark eyes you will have dark eyes because that allele is dominant over the allele for light eyes.   					
ecology			naaldeehii bił haz'ą́	The study of how organisms interact with one another and with their environment	Hináanii ał'ąą ádaat'éhígíí bił haz'ą́ągi ahił dahi'ná dóó binaagóó áhoot'éhígíí chodayooł'ínígíí				naaldeehii	Emissions from coal plants can affect the ecology of an ecosystem by polluting the environment and affecting how organisms survive and interact with each other.					
ecosystem			hináanii bił haz'ą́	An environment including every living organism and non-living factor that is contained within it	Nahasdzáán bikáa'gi haz'ą́ągo ákwe'é ha'át'ííshį́į́ dahinááshį́į́ dóó doo hináanii bee hahodít'éhígíí t'áá ałtso				hináanii	Deserts, rain forests, and and coral reefs are all ecosystems with distinct climates and species.					
ectotherm			naaldeehii yee sizilí	An organism whose internal temperature depends on the temperature of their surrounding environment	Hináanii naaldeehii binaagóó áhoot'éhígíí bik'ehgo bits'íístahdi sizil dóó náhiniik' áás					Ectotherms, like lizards, can't control their body temperature and often lay in the sun to warm up.					
egg	0		ayęęzhii	The female sex cell, or gamete. Compare with sperm.	Asdzání bik'eelyéí	animal egg				In many species, females pass on their DNA to their offspring through their egg cells. 					animal-egg
egg	1		k'eelyéí	@0	@0										
electron			atom bináhaazléí	The components of an atom that have a negative charge	Atoms bee ályaii shádáahjigo bitsiniltł'ish hoo'nááłígíí					Electrons are the glue that hold atoms together when they combine to form a molecule.					
element			áʼádaatʼéhígíí	A pure substance that is made of only one type of atom. Elements cannot be broken down into any simpler substance.	Ha'át'íi da atom t'ááłá'ígo bee ályaaígíí. Atom t'ááłá'i yileehgo doo tanáó'níiłgo ha'át'íi da náádoodleeł da.	skip				Elements are made up of a group of atoms that are all the same, just like a field of corn is made up of many individual corn plants.					
emigration			ch'ída'iinééh	The migration of individuals out of a particular population or area to other populations or areas.  Compare with immigration.	Bíla'ashdla'ii dayikah nít'ę́ę́' yits'á dahanééhgo nááná łahjí dahyikahígíí yił yah adahnéehgo.					You could say that when you leave your classroom and walk out into the hall that you are emigrating from your classroom. 					
endotherm			ats'íís sizilígíí	An organism whose internal temperature can be contantly maintained and does not depend on the temperature of their surrounding environment	Dahinánii dóó naaldeehii bits'íís silzil dóó náhiniik'áásígíí t'áá łáhági silkidgo ádayósinígíí. Binaadę́ę́' nahooniidoh dóó náhoniik'asígíí éí doo binahjį' bits'íís sizil da.					You are an endotherm! Endotherms often have hair or feathers to help keep warm and may sweat or pant to cool down. These adaptations help them maintain a constant temperature.					
energy			’ahóodziil	The ability to do work, produce change, or create heat.  There are many types of energy.  For example, heat energy (also known as thermal energy) is created when molecules move around quickly and randomly within a substance, which releases heat.  Chemical energy is what holds atoms of a molecule or molecules of a substance together.  When these groups of atoms or molecules are separated during a chemical reaction, chemical energy is released, often as heat.  When organisms photosynthesize or digest food, chemical reactions provide chemical energy for their growth and development.	T'áádoole'é biziil yee biinéí dóó bidziilgo yee naalnish, ha'át'íi da łahgo áyooliił, doodago hadoh bits'ą́ą́dóó hólǫ́ (thermal energy). Łą́ ał'ąą át'é.	’ahóodziil= energy. (you modify the a depending what you're talking about)				The sun is a source of heat energy because it warms the earth.  Plants convert light from the sun into chemical energy through photosynthesis.  					
energy pyramid			shá biziil dahináanii bitah silį́į́'ígíí	A picture that represents how much energy, initially from the sun, is retained or stored in living organisms at each trophic level in an ecosystem	Shá bits'ą́ą́dę́ę́' deesdoiígíí hináanii bił nahaz'ą́ądi dóó biyi'di hasht'e dit'eehígíí.										
environment			kéyah bikáa'gi haz'ánígi	The air, water, and land in or on which all living organisms live	Dahináanii dóó naaldeehii bá haz'ą́ągi níłch'I, tó, dóó kéyah yee dahinánígíí					Cacti can survive in hot and dry environments because they are good at storing and conserving water.					
enzyme			ch'iyáán yidiłidí	A substance that acts as a catalyst in living organisms, regulating the rate at which chemical reactions proceed without itself being altered in the process	Naaldeehii bits'íístahdi ch'iyáán yididiiłił go yee bidziil dóó hináadoogo éí ch'iyáán bits'íístahdi shoogishígíí yee yidiłidígíí hodooleeł éí ch'iyáán yidiiłtláadgo bits'ą́ą́dóó biinéí dóó bidziil.					People that are lactose intolerant cannot make the enzyme called lactase which prevents them from digesting lactose in milk.					
epidermis		0	akágí	The outermost layer of cells of any multicellular organism	Hináanii bits'íís bitł'óól (cells) bikágí					Your skin is your epidermis and it protects the inside of your body from harm.					
equilibrium			ahíhooneel'ą́	A state of balance or stable situation where opposite effects cancel each other out and no changes are occuring.	Ha'át'éegi da haz'ą́ągi t'áá ałtsoní hasht'e dadiit'eeh dóó ha'át'íi da doo ba'át'e' hólǫ́ǫ da yileeh. Ha'át'íi da doo ałk'ijį dooldził da, ahíhoneel'ą́ haleeh.					A see-saw is in equilibrium when both kids are perfectly balanced on it.					
eukaryote			hináanii bihinááhts'ózí bijéí dahólónígíí	Organisms whose cells contain a nucleus. Compare with prokaryote.	Hináanii bits'íís bitł'óól biyi'di bijéí dahólónígíí				hináanii	Most of the living things you see around you, including all plants and animals, are eukaryotes.					
evidence			bee éédahozinii	The available facts or information that indicate a belief or statement is true or valid	Ha'át'íida t'áá aaníí át'é bee bééhózinígíí nídiilyáago binahjį' baa ha'oodzíí' dóó woodlánígíí t'áá aaníigo baa nitsáhákees.										
evolution			ayoonaał	Changes in the frequency of alleles over generations	Ayoonaałgo bik'ehgo náás oochíiłii łahgo ánídaa'níiłgo bik'ehgo ahii' háá' ayoochííł.					Over the course of evolution, birds like ostriches lost the ability to fly as they evolved to survive well without flight.					
exoskeleton			hináanii bits'a'	A hard covering on the outside of the body used for support, protection, and muscle attachment. Examples include the shells of snails and the outer covering of beetles.	Hináanii bits'a' dahólónígíí bits'íís bits'a' yee naazį́ dóó naaghá.				hináanii	Scorpions have an exoskeleton that protects them from predators.					
experiment			t'áádoole'é nabíhonitaah	A test done in order to learn something or to discover whether something works or is true.	Ha'át'íi da t'áá aaníí át'é dóó ó'ooł'įįłgi nabíhonitaahgo naalkaah.					If you have dipped your toe into water  to see if it was warm enough for you  to swim, then you have conducted an  experiment!					
extinct			hináanii ła' bił ahóóyá	Occurs when there are no more individuals of that species alive anywhere in the world	Ha'át'íi da ałtso eeldee' éí doodago bił ahóóyáago doo ła' yidziih da silį́į́'ígíí				hináanii	Wooly mammoths died thousands of years ago and this species is now extinct.					
extinction			hináanii ałtso iildéeh	The act or process of a species becoming extinct	Dahináanii ła' ha'át'ííshį́į́ biniinaa áádįįł silį́į'go				hináanii	There are very few black footed ferrets still alive and they are at risk for extinction.					
fertilization (reproductive)			ak'eelyéí ahidiinahgo iilts'ąąh	The process of combinine the male sperm with the female egg to produce a cell called a zygote.	Hináanii biką' dóó bi'áádígíí bik'eelyéí ahidiina'go bits'ą́ą́dóó biyázhí iilts'ą'ígíí.					Most of the living things you see around you, including all plants and animals, are eukaryotes.					
fitness			hohónéedzą́	The ability of an individual to produce successful offspring compared to other individuals of the same species.	Hináanii biyázhí yishchínígíí yisdádoogáałgo bidziilgo hináadoo					In many species, organisms pass on their DNA to their offspring when an egg and sperm cell combine during fertilization.					
food chain			ch'iyáán hinílá	A linear sequence of organisms through which nutrients and energy pass as one organism eats another	Dahináanii ałkéé' bił honí'ą́ągo dahnaazhjaa'go bich'iiyą' nídanidlį́					A large, healthy deer that mates often will have higher fitness than a small, unhealthy deer that doesn't mate as often.					
food web			ch'iyáán bee hahodít'é	Represents multiple pathways through which energy and nutrients flow through an ecosystem. It includes many intersecting food chains. It demonstrates that most organisms eat, and are eaten, by more than one species.	Ch'iyáán dahideezláádóó dahiníláajį' bee hahodít'éego nahaz'ą́. Łahgóó ahéédadiit'I'					Eagles eat mice, mice eat grain, and these three species form a food chain.					
fossil			hináanii bits'iil	Evidence of living organisms that lived long ago	Ałk'idą́ą́' dahináá nít'ę́ę́'yę́ę bits'iil				hináanii	Dinosaur bones are fossils and they tell us when and where dinosaurs used to live. 					
fossil fuel			ats'iil choo'ínígíí	A material formed from the decomposing organisms that can release energy as heat or be used for work. These fuels are found within the Earth and exist in limited quantities. Examples include coal, oil, and natural gas.	Dahináanii daneeznánée dadiłdzid bits'ą́ą́dóó ha'át'íi da nihwiileehígíí biziil (energy) bits'áłdohígíí (heat) bee nida'anish. Nahasdzáán biyi'di dahólǫ́ haashį́į́ danéelt'e'go. Łeejin/tsékǫ', ak'ah łizhiní dóó níłch'i  ászólí ááh ha'ní.					Oil, gas, and coal are called fossil fuels because they are made from the carbon and hydrogen of living things from millions of years ago. Power plants release carbon dioxide when they burn fossil fuels, which contributes to climate change.					
fungi			dláád	Living organisms that get their nutrients by absorbing them.	Hináanii bich'iiyą' binaagóó hólónígíí néidił'eełgo bikágí biníkáágóne'  biihishigéeshgo yee hiná.					The green or white patches on old bread are a type of fungi called mold.					
gamete			ak'eelyéí bee idí'nóotsąąłii	A haploid reproductive cell that joins with another haploid reproductive cell of the opposite sex to form a diploid zygote.	Bi'áadii bik'eelyéí bihinááts'óóz biyi'di iiná bitł'óóól ałk'ídaadeesdizígíí chromosomes t'áá ałní'ígo ánéelt'e' dóó biką'ii bik'eelyéí bihinááhts'óóz biyi'di iiná bitł'óóól ałk'ídaadeesdizígíí chromosomes t'áá ałní'ígo ánéelt'e'ígíí ahidiinahgo bits'ą́ą́dóó biyázhí (zygote) bits'íís bihinááhts'óóz biyi'di iiná bitł'óól ałk'ídadeesdizígíí t'áá át'é bii' dahólǫ́.					Sperm and eggs are examples of haploid cells.					
gene			bik'ehgo náás oochíiłii łago át'e silį́į́'ígíí t'áá át'é	A section of DNA that is the unit of heredity for a trait.	Iiná bitł'óól bąąhgi bik'ehgo jinooséełgo t'áá jizį́į́ nít'ę́ę́' ájít'é dooleełígíí					In cats, fur length is determined by one gene, but body size is influenced by many genes.					
gene pool			bik'ehgo náás oochíiłiii	All of the alleles of all the genes in a population of a specific species at a given time.	T'áá hoolzhishgi dahináanii t'áá sahdii dahyikahgo yik'ehgo náás oołchíiłii łahgo át'é daazlį́į'ígíí t'áá ałtso ááł jiní					A species with red and orange flowers has alleles for red and orange flower color in its gene pool.					
generalist			hináanii t'áá ałtso yíníłdzilii	A species that can thrive in many different environmental conditions or use different types of resources. Compare with specialist.	Dahináanii ła' dahyikahgo łahgo ánáhoo'níiłgi kéédahat'į́ éí doodago yee dahináanii ał'ąą ádaat'éego yee kééhát'į́				hináanii	A raccoon is an example of a generalist.  It lives in a variety of habitats, from cities to forests, and it eats a lot of different types of food.					
generation			hináan t'áá ła' yikahígíí	All of the organisms born and living at about the same time. In humans, mother and daughters represent two generations	Hináanii t'áá ałhąąh daazhchí dóó danihinánígíí, Amá dóó ach'é'é éí naakidi azhchínígíí át'é					During elementary school, all the kids in your class are a part of your generation because all of you have similar ages. 					
genetic disorder			iiná bitł'óól łahgo ádzaii binaałniih	A disease that is caused by a change (mutation) in an individual's DNA sequence	Bik'ehgo náás oochíiłii ałkéé' sinilyę́ę łahgo ádzaago ba'át'e' hazlį́į'go bits'ą́ą́dóó ąąh dahaz'ą́ bił oochííł yileeh.					A disease like xeroderma pigmentosum makes you sensitive to sunlight and is a genetic disorder because it can be inherited from your parents.					
genetically engineered			iiná bitł'óól łahgo ályaa	The deliberate modification of the characteristics of an organism by changing its DNA or RNA	Ha'át'íi da hináanii bits'íís dóó bíni' da yee hadít'éhígíí t'áá ákólnéehgo be'iiná bitł'óól łahgo ál'įįhígíí					There are types of corn that have had their DNA genetically engineered so that they can resist insect herbivores.  Organisms that have had their DNA engineered are called genetically modified organisms (GMOs).					
genetics			bik'ehgo náás oochíiłii naalkaah	The study of genes and inheritance in living organisms	Dahináanii yik'ehgo náás oołchííłígíí dóó yił oołchíiłii nidaalkaahgo t'áá át'é bíhoo'aah					A scientist who studies corn genetics researches how traits and diseases are inherited and affect yield.					
genome			hináanii be'iiná bitł'óól t'áá ałtso	All of an organism's DNA	Ha'át'íi da hináanii bits'íís bitł'óól t'áá ałtso bits'íís bii' hólónígíí				hináanii	We can compare the genomes of different people to see if we can identify which alleles cause diseases.					
genotype			hái da bi allele t'áá ałtso	All of the alleles in a given individual's genome	Ha'át'íi da hináanii yik'ehgo náás oołchíiłii łahgo át'é daazlį́į́'ígíí t'áá ałtso					A sheep's genotype may include alleles for white wool and black wool, but because the black allele is dominant, the sheep's phenotype will be black wool.					
geology			nahasdzáán naalkaah	The science that deals with the earth's physical structure, the materials it is made of, its history, and the processes that act on it.	Nahasdzáán ninálkaahgo ha'át'íi da yee hadít'éhígíí, biyi'di dóó bikáá'góó hólónígíí dahazlį́į́'dę́ę́' dóó yee naalnishígíí bíhoo'aah	nahasdzáán=earth, naalkaah= study				A scientist who studies geology can research how structures like mountains and canyons were formed.					
global warming			nahasdząąn bikáá'góó honiidóóh	The increase in the Earth's average temperature. Recently, temperatures are rising rapidly due to increases in the levels of greenhouse gases.	Nahasdzáán bikáá'góó sidooígíí de'áániił. Níłch'i hado yił hidideełígíí, greenhouse gases, łą́ dahshoogish silį́į́'ígíí biniinaa nahasdzáán ayóo sido silį́į́'.					One of the results of burning fossil fuels is global warming, which is causing a rise in the average temperature of the planet.					
glucose			chʼiyáán náálkąąd bee jiinánígíí	The simple sugar that is the main source of energy. Glucose is found in the blood and is the main sugar that the body makes.	Łikání hadił bitahdi hólǫ́ǫgo íiyisíí bee hadziil dóó hwiinéí áhósinígíí óolyé. Łikání glucose wolyéhígíí hadił bitahdi hólǫ́ éí hats'íís ííł'į́įgo hadił bitahdi niheleeh.	chʼiyáán=food, bee jiinánígíí = keeping you alive... means "something about the food is keeping you alive"				Someone with diabetes needs to monitor their glucose levels, which is the amount of sugar that is in their bloodstream. 					
