English word	English variant	Diné variant	Diné word	Biological definition in english	Defintion in Diné	Literal Translation	Distinction	See also (English)	See also (Diné)	Use in a sentence (English)	Use in a sentence (Diné)	Phonetic English	Phonetic Diné	English audio file name (leave blank for auto-generated)	Diné audio file name (leave blank for auto-generated)
taxonomy			yízhí dóó óolyéhígíí	The science of naming and describing organisms.	Na'alkaahk'ehgo t'áá ałtsoní bízhi' dóó íiyisíí át'éhígíí baa hane'					A wolf pack has a large territory of up to 1000 square miles that it defends from other wolves.  If let outside, a house cat will defend a small territory of less than 10 square miles and will kill both pests and beneficial wildlife.					
telophase				The last stage of mitosis or meiosis in which chromosomes move to opposite ends of the cell and two nucleus are formed.											
territory			akéyah	Any area defended by an organism or a group of similar organisms for their own use	Haa'í da haz'ą́ągo hináanii choyooł'į́įgo yaa hóchį'gi	would need to specify "who's land/area". Keya is land				When you boil water, the water molecules will start to move around quickly as they absorb thermal energy from the burner.  					
theory			bik'ehgo na'alkaahii	An explanation for why things work or how things happen that is supported by a large amount of scientific evidence	T'áá ha'át'íi da át'éegi dóó naalnishígi át'éego baa hane' dóó nábinázláago binahjį' áhá'nínígíí łą́ bééhózingo					Cell theory states that all organisms are made up of cells and that all new cells are produced by existing cells. We know that this is true because we can see cells under a microscope and can trace the origin of new cells back to the cells they came from. There is no evidence to suggest this theory is incorrect.					
thermal energy			aziil	This type of energy (also known as heat energy) is created when molecules move around quickly and randomly within a substance, which releases heat.	Hado bee ayoonaałgo t'áá ha'át'íi da yee hadít'éii, molecules, ahídaha'náahgo yee niidoh dóó bits'á níłdoii					When you boil water, the water molecules will start to move around quickly as they absorb thermal energy from the burner.  					
tissue			hinááhts'óóz ahii' silá	A group of cells that perform a similar function	Hinááhts'ózí t'áá ahedaałt'éego dóó binaanish t'ááłá'ígo				hinááhts'óóz	Gum disease causes your gum tissue to become red, swollen, and bleed easily.  You can prevent gum disease by frequently brushing and flossing your teeth.					
trait			hináanii át'é nilį́įgi	A characteristic of an organism that can be observed.	Hináanii bił bidizhchínígíí yit'į́ yileehdi				hináanii	Hair color, eye color, and nose size are all traits you inherit from your parents.					
trophic level			hináanii ch'iyáán nilį́	An organism's position along a food chain	Hináanii ayą́ągo hiná dóó áadi ha'át'ííshį́į́ bich'iiyą' nánídlį́į́góne'				hináanii	Plants are at the base of each food chain.  Animals that eat plants, like deer, are one trophic level above plants.  Animals that eat deer, like mountain lions, are one trophic level above deer.  					
unicellular			hinááhts'óóz naagháii	Organisms that consist of one cell. Compare with multicellular.	Hináanii hinááhts'óóz t'ááłá'ígo bits'íís nilį́. Hináanii náádaała' éí hinááhts'óóz łą́ągo yee bits'íís dahólǫ́.				hinááhts'óóz	Bacteria are unicellular organisms because they are made of one cell.					
urinary system			łizh bá haz'ą́ągi	The organs that remove waste from the body.	Ats'íís biyi'di siláhígíí ats'íís ałtso choyoos'įįdígíí níláhgóó yits'ą́ąjį' kwííł'ínígíí					The urinary system is the filter of the bloodstream as it captures waste and releases it from the body.					
vertebrate			bíígháán dahólónígíí	An animal that has a spinal cord and a skeleton. Compare with invetebrate.	Hináanii naaldeehii, animals, bits'íísts'in dóó bitsiighąą' bíígháán bii' danít'i' ígíí					Humans, horses, and birds are vertebrates, but an octopus has no bones or spinal cord and is thus an invertebrate.					
vestigial (trait)			ats'iis	Cells, tissues, or organs in a body that have no apparent function and is similar to a functioning organ or structure in an ancestor.	Hinááhts'óóz ats'íís biyi'di binaanish t'ááła'ígo hólónígíí, tissues, ats'ą́ siláii ats'íís biyi'di hólǫ́ nidi doo choo'į́į dago yits'ą́ą́dę́ę́' yigáałii bits'íís hólónígíí ła' choyooł'į́ dóó binaanish hólónígíí t'áá yił aheełt'é					The wisdom teeth of our ancestors would replace any teeth that fell out or were removed.  Now, our wisdom teeth are vestigial traits because we have better mouth hygeine and dental care.					
virus			naałniih	A small parasite that lives within the cells of other organisms, cannot reproduce without the help of the cell it lives inside of, and causes disease.	Hináanii doo yit'į́į dago nááná łahdę́ę́' yigáałgo ats'íís bihinááhts'óóz biyi'di hiná silį́į́', dóó áadi hinááhts'óóz yee binahjį' noosééł yileeh áádóó bits'ą́ą́dóó ąąh dahaz'ą́ haleeh					Hantavirus is a virus that causes serious lung disease. You can catch hantavirus from the saliva, urine, or droppings of deer mice and other rodents.					
water cycle			tó binahat'a'	The movement of water on, above, or below the surface of our planet.	Tó nahasdzáán bikáá'góó dóó biyi' hólǫ́  dóó hót'ááhgóó dahólǫ́ éí hoo'nááł dóó danílínígíí bił ahééhwiizhíísh					The water cycle describes how water moves around the earth.  Water moves around when it rains, when rivers transport it long distances, when it evaporates from the surface of leaves, or when ocean currents move it around the globe.					
white blood cell			dił łigaaí	Cells that are part of the body's immune system that help the body fight infection and other diseases.	Hinááhts'óóz ats'íís yee bihodééłníi da áyósin éí ii'noot'į́į́', infection, dóó ąąh dahwiidooł'aałii yich'ą́ą́h naalnish					White blood cells are part of the immune system. There are many different types of white blood cells circulating in your blood and each type has a specific role in fighting infections.					
zoology			naaldeehii naalkaah	The scientific study of animals	Hináanii naaldeehii, animals, ał'ąą át'éego dahyikahígíí haalzííd dóó naalkaahgo bíhoo'aah					Ranchers use their zoology knowledge to breed sheep so their offspring have more meat or fluffier wool. 					
zygote			awéé'	The cell that forms after gametes are joined.	Amá dóó azhé'é bik'eelyéí bee i'niitsąądgo					The zygote forms once the sperm cell enters the egg cell and they become one cell.  Identical twins are a result of a zygote splitting into two cells.					
